Code,EngName,ArbName,Ledger Types,AllowAccountEntry,CatCode,CatEngName,CatArbName,Level,,Level = 1,Level = 2,Level = 3,Level = 4,Level = 5
402030130020,رسوم واتعاب قضايا     ,رسوم واتعاب قضايا     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030130030,رسوم غرامات تاخير     ,رسوم غرامات تاخير     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030130040,تعويضات للغير - غرامات اطباء   ,تعويضات للغير - غرامات اطباء   ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030130050,غرامة مخالفة انظمة,غرامة مخالفة انظمة,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030130060,تعويضات للغير - تسوية نزاعات قضائية,تعويضات للغير - تسوية نزاعات قضائية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030130070,اتعاب مراجعة حسابات    ,اتعاب مراجعة حسابات    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030140000,كهرباء ومياه ومرافق    ,كهرباء ومياه ومرافق    ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030140010,مصروفات كهرباء     ,مصروفات كهرباء     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030140020,مصروفات مياه     ,مصروفات مياه     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030140030,مصروفات غاز     ,مصروفات غاز     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030140040,مصروفات مجاري      ,مصروفات مجاري      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030140050,مصروفات مرافق      ,مصروفات مرافق      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030140060,مصروفات طرق,مصروفات طرق,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030150000,زكاة وتبرعات     ,زكاة وتبرعات     ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030150010,تبرعات,تبرعات,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030150020,زكاة أفراد وجهات أخرى    ,زكاة أفراد وجهات أخرى    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030160000,نثرية ومتنوعة     ,نثرية ومتنوعة     ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030160010,هدايا      ,هدايا      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030160020,اكراميات      ,اكراميات      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030160030,مصروفات نثرية اخرى     ,مصروفات نثرية اخرى     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030160040,ارباح وخسائر راسمالية,ارباح وخسائر راسمالية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040000000,اهلاكات عمومية وادراية  ,اهلاكات عمومية وادراية  ,,0,1234,ارباح الفترة,ارباح الفترة,3,,,,,,
402040010000,اهلاكات عمومية وادارية ,اهلاكات عمومية وادارية ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402040010010,مصروف اهلاك اثاث ومفروشات,مصروف اهلاك اثاث ومفروشات,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010020,مصروف اهلاك السيارات,مصروف اهلاك السيارات,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010030,مصروف اهلاك اجهزة الكترونية وكمبيوتر,مصروف اهلاك اجهزة الكترونية وكمبيوتر,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010040,مصروف اهلاك اجهزة حريق وكاميرات مراقبة,مصروف اهلاك اجهزة حريق وكاميرات مراقبة,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010050,مصروف اهلاك شبكة السنترال والهواتف,مصروف اهلاك شبكة السنترال والهواتف,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010060,مصروف اهلاك  تركيبات وديكورات,مصروف اهلاك  تركيبات وديكورات,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010070,مصروف اهلاك  أجهزة كهربائية,مصروف اهلاك  أجهزة كهربائية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010080,مصروف اهلاك اجهزة تكييف,مصروف اهلاك اجهزة تكييف,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010090,مصروف اهلاك عدد و الات و اجهزه تعليمية,مصروف اهلاك عدد و الات و اجهزه تعليمية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010100,مصروف إهلاك أنظمة وبرامج,مصروف إهلاك أنظمة وبرامج,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010110,مصروف إهلاك المبانى,مصروف إهلاك المبانى,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010120,مصروف اهلاك معدات نظافة,مصروف اهلاك معدات نظافة,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010130,مصروف اهلاك اجهزة كهربائية -سكن الموظفين,مصروف اهلاك اجهزة كهربائية -سكن الموظفين,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010140,مصروف اهلاك اثاث ومفروشات -سكن الموظفين,مصروف اهلاك اثاث ومفروشات -سكن الموظفين,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010150,مصروف اهلاك اجهزة تكييف -سكن الموظفين,مصروف اهلاك اجهزة تكييف -سكن الموظفين,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040010160,مصروف اهلاك اادوات ومعدات مكتبية,مصروف اهلاك اادوات ومعدات مكتبية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402040020000,مصروفات المخصصات,مصروفات المخصصات,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402040020010,مصروفات ديون مشكوك فى تحصيلها,مصروفات ديون مشكوك فى تحصيلها,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
